rank_share,journal_key,full_title,gwas_hits,total_articles,fraction_gwas
2129,Reprod Fertil Dev,"Reproduction, fertility, and development",5,2336,0.002140
2130,Cent Nerv Syst Agents Med Chem,Central nervous system agents in medicinal chemistry,1,468,0.002137
2131,Expert Rev Anticancer Ther,Expert review of anticancer therapy,6,2810,0.002135
2132,Heart Asia,Heart Asia,1,469,0.002132
2133,Heliyon,Heliyon,92,43206,0.002129
2134,BMC Pregnancy Childbirth,BMC pregnancy and childbirth,20,9402,0.002127
2135,Expert Rev Cardiovasc Ther,Expert review of cardiovascular therapy,5,2351,0.002127
2136,FEBS Open Bio,FEBS open bio,5,2351,0.002127
2137,Epilepsy Behav,Epilepsy & behavior : E&B,18,8466,0.002126
2138,Basic Clin Pharmacol Toxicol,Basic & clinical pharmacology & toxicology,6,2822,0.002126
2139,J Gastrointestin Liver Dis,Journal of gastrointestinal and liver diseases : JGLD,4,1882,0.002125
2140,Open Heart,Open heart,4,1882,0.002125
2141,Cardiol Res Pract,Cardiology research and practice,2,942,0.002123
2142,Clinics (Sao Paulo),"Clinics (Sao Paulo, Brazil)",8,3773,0.002120
2143,J Diabetes Complications,Journal of diabetes and its complications,6,2832,0.002119
2144,J Epidemiol Glob Health,Journal of epidemiology and global health,2,944,0.002119
2145,Cancer Drug Resist,"Cancer drug resistance (Alhambra, Calif.)",1,472,0.002119
2146,Prz Menopauzalny,Przeglad menopauzalny = Menopause review,1,472,0.002119
2147,Pathogens,"Pathogens (Basel, Switzerland)",19,8987,0.002114
2148,Tohoku J Exp Med,The Tohoku journal of experimental medicine,5,2366,0.002113
2149,Zebrafish,Zebrafish,2,948,0.002110
2150,Eur Rev Med Pharmacol Sci,European review for medical and pharmacological sciences,27,12809,0.002108
2151,J Leukoc Biol,Journal of leukocyte biology,10,4745,0.002107
2152,Indian J Clin Biochem,Indian journal of clinical biochemistry : IJCB,3,1424,0.002107
2153,Breast Dis,Breast disease,1,475,0.002105
2154,Kardiologiia,Kardiologiia,7,3334,0.002100
2155,Neurosci Res,Neuroscience research,5,2383,0.002098
2156,Psychogeriatrics,Psychogeriatrics : the official journal of the Japanese Psychogeriatric Society,3,1431,0.002096
2157,Front Cell Neurosci,Frontiers in cellular neuroscience,13,6207,0.002094
2158,Behav Neurol,Behavioural neurology,2,956,0.002092
2159,Artif Life,Artificial life,1,478,0.002092
2160,Pediatr Hematol Oncol,Pediatric hematology and oncology,3,1435,0.002091
2161,Emerg Top Life Sci,Emerging topics in life sciences,1,479,0.002088
2162,J Equine Vet Sci,Journal of equine veterinary science,3,1438,0.002086
2163,Aust N Z J Psychiatry,The Australian and New Zealand journal of psychiatry,8,3839,0.002084
2164,Front Glob Womens Health,Frontiers in global women's health,2,960,0.002083
2165,Annu Rev Cell Dev Biol,Annual review of cell and developmental biology,1,480,0.002083
2166,Endocr Regul,Endocrine regulations,1,480,0.002083
2167,Transl Neurosci,Translational neuroscience,1,480,0.002083
2168,Aust Dent J,Australian dental journal,3,1443,0.002079
2169,Drug Discov Today Technol,Drug discovery today. Technologies,1,481,0.002079
2170,Recent Pat Biotechnol,Recent patents on biotechnology,1,481,0.002079
2171,Cancer Gene Ther,Cancer gene therapy,4,1928,0.002075
2172,Oncogenesis,Oncogenesis,2,964,0.002075
2173,Virus Res,Virus research,10,4821,0.002074
2174,Front Behav Neurosci,Frontiers in behavioral neuroscience,9,4345,0.002071
2175,Cardiovasc Diagn Ther,Cardiovascular diagnosis and therapy,3,1449,0.002070
2176,J Oral Biosci,Journal of oral biosciences,1,483,0.002070
2177,Funct Plant Biol,Functional plant biology : FPB,4,1933,0.002069
2178,Neoplasma,Neoplasma,4,1933,0.002069
2179,Dis Esophagus,Diseases of the esophagus : official journal of the International Society for Diseases of the Esophagus,5,2417,0.002069
2180,JACC Adv,JACC. Advances,4,1938,0.002064
2181,Cancer Treat Res Commun,Cancer treatment and research communications,2,969,0.002064
2182,Eur Heart J Suppl,European heart journal supplements : journal of the European Society of Cardiology,2,970,0.002062
2183,Clin Cases Miner Bone Metab,"Clinical cases in mineral and bone metabolism : the official journal of the Italian Society of Osteoporosis, Mineral Metabolism, and Skeletal Diseases",1,485,0.002062
2184,J Pediatr Gastroenterol Nutr,Journal of pediatric gastroenterology and nutrition,14,6801,0.002059
2185,J Biol Chem,The Journal of biological chemistry,101,49067,0.002058
2186,Am J Transl Res,American journal of translational research,16,7774,0.002058
2187,J Matern Fetal Neonatal Med,"The journal of maternal-fetal & neonatal medicine : the official journal of the European Association of Perinatal Medicine, the Federation of Asia and Oceania Perinatal Societies, the International Society of Perinatal Obstetricians",19,9250,0.002054
2188,Indian J Med Res,The Indian journal of medical research,10,4872,0.002053
2189,Pathol Oncol Res,Pathology oncology research : POR,5,2438,0.002051
2190,Ann Am Thorac Soc,Annals of the American Thoracic Society,9,4398,0.002046
2191,Ortop Traumatol Rehabil,"Ortopedia, traumatologia, rehabilitacja",2,978,0.002045
2192,Microbiologyopen,MicrobiologyOpen,3,1470,0.002041
2193,Transl Oncol,Translational oncology,6,2945,0.002037
2194,Neuroscientist,"The Neuroscientist : a review journal bringing neurobiology, neurology and psychiatry",2,982,0.002037
2195,Tree Physiol,Tree physiology,6,2948,0.002035
2196,Front Biosci,Frontiers in bioscience : a journal and virtual library,2,983,0.002035
2197,Curr Opin Obstet Gynecol,Current opinion in obstetrics & gynecology,3,1475,0.002034
2198,Ann Dermatol,Annals of dermatology,5,2460,0.002033
2199,Can J Diabetes,Canadian journal of diabetes,3,1476,0.002033
2200,J Cosmet Sci,Journal of cosmetic science,1,492,0.002033
2201,PCN Rep,PCN reports : psychiatry and clinical neurosciences,1,492,0.002033
2202,Stem Cell Rev Rep,Stem cell reviews and reports,4,1969,0.002031
2203,J Chin Med Assoc,Journal of the Chinese Medical Association : JCMA,6,2959,0.002028
2204,JAMA Dermatol,JAMA dermatology,9,4454,0.002021
2205,J Transl Int Med,Journal of translational internal medicine,1,495,0.002020
2206,Clin Biochem,Clinical biochemistry,9,4456,0.002020
2207,J Med Signals Sens,Journal of medical signals and sensors,1,496,0.002016
2208,Reproduction,"Reproduction (Cambridge, England)",6,2977,0.002015
2209,Transl Anim Sci,Translational animal science,3,1490,0.002013
2210,Neuroscience,Neuroscience,27,13419,0.002012
2211,J Stomatol Oral Maxillofac Surg,"Journal of stomatology, oral and maxillofacial surgery",4,1988,0.002012
2212,Alcohol Alcohol,"Alcohol and alcoholism (Oxford, Oxfordshire)",4,1989,0.002011
2213,J Peripher Nerv Syst,Journal of the peripheral nervous system : JPNS,2,997,0.002006
2214,Curr Opin Cell Biol,Current opinion in cell biology,4,1995,0.002005
2215,Nat Rev Neurosci,Nature reviews. Neuroscience,5,2494,0.002005
2216,J Asthma Allergy,Journal of asthma and allergy,2,998,0.002004
2217,Differentiation,Differentiation; research in biological diversity,2,999,0.002002
2218,Prog Cardiovasc Dis,Progress in cardiovascular diseases,3,1499,0.002001
2219,Int J Biochem Cell Biol,The international journal of biochemistry & cell biology,8,3999,0.002001
2220,Diseases,"Diseases (Basel, Switzerland)",3,1502,0.001997
2221,Reprod Biol,Reproductive biology,2,1002,0.001996
2222,Adv Urol,Advances in urology,1,501,0.001996
2223,Cardiovasc Hematol Agents Med Chem,Cardiovascular & hematological agents in medicinal chemistry,1,501,0.001996
2224,Eur Heart J Digit Health,European heart journal. Digital health,1,502,0.001992
2225,Natl Sci Rev,National science review,5,2511,0.001991
2226,Leuk Res,Leukemia research,9,4522,0.001990
2227,Pol J Microbiol,Polish journal of microbiology,2,1005,0.001990
2228,Hemoglobin,Hemoglobin,3,1508,0.001989
2229,Lancet Reg Health West Pac,The Lancet regional health. Western Pacific,3,1512,0.001984
2230,Ther Adv Cardiovasc Dis,Therapeutic advances in cardiovascular disease,1,504,0.001984
2231,World J Stem Cells,World journal of stem cells,2,1009,0.001982
2232,Eur J Dermatol,European journal of dermatology : EJD,9,4547,0.001979
2233,Arch Ophthalmol,"Archives of ophthalmology (Chicago, Ill. : 1960)",4,2022,0.001978
2234,Lancet Gastroenterol Hepatol,The lancet. Gastroenterology & hepatology,4,2024,0.001976
2235,J Exp Zool B Mol Dev Evol,"Journal of experimental zoology. Part B, Molecular and developmental evolution",2,1013,0.001974
2236,Child Dev,Child development,6,3041,0.001973
2237,Pathog Dis,Pathogens and disease,2,1014,0.001972
2238,Anim Microbiome,Animal microbiome,1,507,0.001972
2239,J Eur Acad Dermatol Venereol,Journal of the European Academy of Dermatology and Venereology : JEADV,22,11157,0.001972
2240,Behav Brain Res,Behavioural brain research,20,10145,0.001971
2241,Environ Microbiome,Environmental microbiome,1,508,0.001969
2242,Int J Risk Saf Med,The International journal of risk & safety in medicine,1,508,0.001969
2243,Int J Legal Med,International journal of legal medicine,7,3557,0.001968
2244,Ideggyogy Sz,Ideggyogyaszati szemle,2,1017,0.001967
2245,Endocrinol Nutr,Endocrinologia y nutricion : organo de la Sociedad Espanola de Endocrinologia y Nutricion,2,1018,0.001965
2246,Am J Cardiovasc Dis,American journal of cardiovascular disease,1,509,0.001965
2247,J Korean Med Sci,Journal of Korean medical science,12,6109,0.001964
2248,Plant Biol (Stuttg),"Plant biology (Stuttgart, Germany)",5,2547,0.001963
2249,Nihon Geka Gakkai Zasshi,Nihon Geka Gakkai zasshi,2,1019,0.001963
2250,Clin Transl Oncol,Clinical & translational oncology : official publication of the Federation of Spanish Oncology Societies and of the National Cancer Institute of Mexico,8,4079,0.001961
2251,Stem Cells,"Stem cells (Dayton, Ohio)",8,4080,0.001961
2252,Vasc Health Risk Manag,Vascular health and risk management,3,1531,0.001960
2253,Rev Med Liege,Revue medicale de Liege,5,2558,0.001955
2254,Chonnam Med J,Chonnam medical journal,1,513,0.001949
2255,J Vet Intern Med,Journal of veterinary internal medicine,9,4622,0.001947
2256,Crit Rev Biochem Mol Biol,Critical reviews in biochemistry and molecular biology,1,514,0.001946
2257,Mol Biotechnol,Molecular biotechnology,5,2573,0.001943
2258,Ann Oncol,Annals of oncology : official journal of the European Society for Medical Oncology,15,7724,0.001942
2259,Clin Dermatol,Clinics in dermatology,4,2060,0.001942
2260,J Trace Elem Med Biol,Journal of trace elements in medicine and biology : organ of the Society for Minerals and Trace Elements (GMS),5,2580,0.001938
2261,CSH Protoc,CSH protocols,1,516,0.001938
2262,Contrib Nephrol,Contributions to nephrology,2,1034,0.001934
2263,Scand Cardiovasc J,Scandinavian cardiovascular journal : SCJ,2,1034,0.001934
2264,Mol Reprod Dev,Molecular reproduction and development,4,2070,0.001932
2265,Cancers (Basel),Cancers,67,34701,0.001931
2266,Mol Cell Proteomics,Molecular & cellular proteomics : MCP,8,4144,0.001931
2267,Curr Opin Investig Drugs,"Current opinion in investigational drugs (London, England : 2000)",1,519,0.001927
2268,Drugs Real World Outcomes,Drugs - real world outcomes,1,519,0.001927
2269,Circ J,Circulation journal : official journal of the Japanese Circulation Society,14,7280,0.001923
2270,Croat Med J,Croatian medical journal,3,1560,0.001923
2271,J Musculoskelet Neuronal Interact,Journal of musculoskeletal & neuronal interactions,2,1041,0.001921
2272,Arch Osteoporos,Archives of osteoporosis,3,1563,0.001919
2273,Microb Cell,"Microbial cell (Graz, Austria)",1,522,0.001916
2274,Obstet Gynecol Sci,Obstetrics & gynecology science,2,1045,0.001914
2275,Eur J Cancer,"European journal of cancer (Oxford, England : 1990)",15,7839,0.001914
2276,J Zhejiang Univ Sci B,Journal of Zhejiang University. Science. B,4,2092,0.001912
2277,J Prev Med Public Health,Journal of preventive medicine and public health = Yebang Uihakhoe chi,2,1048,0.001908
2278,Ann Epidemiol,Annals of epidemiology,5,2624,0.001905
2279,Mol Inform,Molecular informatics,2,1052,0.001901
2280,Am J Nucl Med Mol Imaging,American journal of nuclear medicine and molecular imaging,1,526,0.001901
2281,J Toxicol Sci,The Journal of toxicological sciences,3,1580,0.001899
2282,Curr Probl Cardiol,Current problems in cardiology,4,2108,0.001898
2283,Cell J,Cell journal,2,1054,0.001898
2284,Trop Med Health,Tropical medicine and health,2,1054,0.001898
2285,Eur Urol,European urology,18,9488,0.001897
2286,Cardiol Clin,Cardiology clinics,2,1055,0.001896
2287,World J Emerg Med,World journal of emergency medicine,2,1056,0.001894
2288,Pediatr Diabetes,Pediatric diabetes,4,2114,0.001892
2289,Annu Rev Entomol,Annual review of entomology,1,529,0.001890
2290,World J Pediatr,World journal of pediatrics : WJP,3,1588,0.001889
2291,Yeast,"Yeast (Chichester, England)",2,1059,0.001889
2292,Arthritis Care Res (Hoboken),Arthritis care & research,8,4237,0.001888
2293,Turk J Gastroenterol,The Turkish journal of gastroenterology : the official journal of Turkish Society of Gastroenterology,5,2650,0.001887
2294,J Plant Res,Journal of plant research,3,1590,0.001887
2295,Eur J Pain,"European journal of pain (London, England)",6,3189,0.001881
2296,Insect Biochem Mol Biol,Insect biochemistry and molecular biology,4,2126,0.001881
2297,Brain Lang,Brain and language,3,1595,0.001881
2298,Cancer Biother Radiopharm,Cancer biotherapy & radiopharmaceuticals,3,1595,0.001881
2299,Technol Cancer Res Treat,Technology in cancer research & treatment,5,2663,0.001878
2300,Med Sci Monit,Medical science monitor : international medical journal of experimental and clinical research,18,9592,0.001877
2301,Iran J Vet Res,Iranian journal of veterinary research,1,533,0.001876
2302,Ann Saudi Med,Annals of Saudi medicine,3,1600,0.001875
2303,J Prev Med Hyg,Journal of preventive medicine and hygiene,2,1072,0.001866
2304,J Mammary Gland Biol Neoplasia,Journal of mammary gland biology and neoplasia,1,536,0.001866
2305,Visc Med,Visceral medicine,1,536,0.001866
2306,Future Cardiol,Future cardiology,3,1613,0.001860
2307,New Microbiol,The new microbiologica,2,1076,0.001859
2308,Lung Cancer,"Lung cancer (Amsterdam, Netherlands)",10,5381,0.001858
2309,Hear Res,Hearing research,6,3233,0.001856
2310,Eye (Lond),"Eye (London, England)",15,8084,0.001856
2311,Neurol Neurochir Pol,Neurologia i neurochirurgia polska,3,1617,0.001855
2312,Eur J Immunol,European journal of immunology,10,5410,0.001848
2313,Lab Invest,Laboratory investigation; a journal of technical methods and pathology,5,2708,0.001846
2314,Meat Sci,Meat science,10,5427,0.001843
2315,Korean Circ J,Korean circulation journal,4,2171,0.001842
2316,J Pediatr Endocrinol Metab,Journal of pediatric endocrinology & metabolism : JPEM,7,3801,0.001842
2317,Ethn Dis,Ethnicity & disease,3,1629,0.001842
2318,New Dir Child Adolesc Dev,New directions for child and adolescent development,1,543,0.001842
2319,Psychiatr Pol,Psychiatria polska,3,1632,0.001838
2320,Yonago Acta Med,Yonago acta medica,1,544,0.001838
2321,Hamostaseologie,Hamostaseologie,2,1089,0.001837
2322,J Oral Rehabil,Journal of oral rehabilitation,5,2723,0.001836
2323,Clin Chem Lab Med,Clinical chemistry and laboratory medicine,12,6536,0.001836
2324,Ann Hematol,Annals of hematology,12,6537,0.001836
2325,Drug Saf,Drug safety,4,2181,0.001834
2326,Gastroenterol Clin North Am,Gastroenterology clinics of North America,2,1092,0.001832
2327,BMC Microbiol,BMC microbiology,12,6555,0.001831
2328,Nutr Res,"Nutrition research (New York, N.Y.)",4,2186,0.001830
2329,Connect Tissue Res,Connective tissue research,2,1093,0.001830
2330,Radiat Oncol J,Radiation oncology journal,1,547,0.001828
2331,Nan Fang Yi Ke Da Xue Xue Bao,Nan fang yi ke da xue xue bao = Journal of Southern Medical University,13,7116,0.001827
2332,Cancer Control,Cancer control : journal of the Moffitt Cancer Center,3,1645,0.001824
2333,Neuro Endocrinol Lett,Neuro endocrinology letters,4,2195,0.001822
2334,Microbiol Mol Biol Rev,Microbiology and molecular biology reviews : MMBR,1,549,0.001821
2335,BMC Med Ethics,BMC medical ethics,3,1651,0.001817
2336,Genes Cells,Genes to cells : devoted to molecular & cellular mechanisms,3,1652,0.001816
2337,Insect Sci,Insect science,3,1655,0.001813
2338,Dement Geriatr Cogn Dis Extra,Dementia and geriatric cognitive disorders extra,1,552,0.001812
2339,Results Probl Cell Differ,Results and problems in cell differentiation,1,552,0.001812
2340,Cell Prolif,Cell proliferation,4,2209,0.001811
2341,Kidney Blood Press Res,Kidney & blood pressure research,3,1659,0.001808
2342,Exp Oncol,Experimental oncology,2,1106,0.001808
2343,Morphologie,Morphologie : bulletin de l'Association des anatomistes,1,553,0.001808
2344,Nutr Rev,Nutrition reviews,4,2216,0.001805
2345,Dongwuxue Yanjiu,Dong wu xue yan jiu = Zoological research,1,555,0.001802
2346,J Neurooncol,Journal of neuro-oncology,11,6106,0.001802
2347,J Clin Psychopharmacol,Journal of clinical psychopharmacology,6,3333,0.001800
2348,Cardiovasc Hematol Disord Drug Targets,Cardiovascular & hematological disorders drug targets,1,556,0.001799
2349,Paediatr Perinat Epidemiol,Paediatric and perinatal epidemiology,3,1669,0.001797
2350,Equine Vet J,Equine veterinary journal,5,2786,0.001795
2351,Neuropeptides,Neuropeptides,2,1115,0.001794
2352,Vet Med Sci,Veterinary medicine and science,4,2231,0.001793
2353,Transfus Med Rev,Transfusion medicine reviews,1,558,0.001792
2354,Int J Psychophysiol,International journal of psychophysiology : official journal of the International Organization of Psychophysiology,5,2791,0.001791
2355,Encephale,L'Encephale,4,2237,0.001788
2356,Exp Anim,Experimental animals,2,1119,0.001787
2357,J Appl Stat,Journal of applied statistics,2,1120,0.001786
2358,AoB Plants,AoB PLANTS,2,1122,0.001783
2359,Urol Clin North Am,The Urologic clinics of North America,2,1122,0.001783
2360,Cardiorenal Med,Cardiorenal medicine,1,561,0.001783
2361,Eur J Haematol,European journal of haematology,6,3368,0.001781
2362,Clin Lymphoma Myeloma Leuk,"Clinical lymphoma, myeloma & leukemia",5,2811,0.001779
2363,Sleep Breath,Sleep & breathing = Schlaf & Atmung,6,3377,0.001777
2364,Traffic,"Traffic (Copenhagen, Denmark)",3,1691,0.001774
2365,Klin Onkol,Klinicka onkologie : casopis Ceske a Slovenske onkologicke spolecnosti,2,1128,0.001773
2366,Aliment Pharmacol Ther,Alimentary pharmacology & therapeutics,15,8464,0.001772
2367,Clin Cardiol,Clinical cardiology,6,3390,0.001770
2368,Anal Cell Pathol (Amst),Analytical cellular pathology (Amsterdam),1,566,0.001767
2369,Clin Med Insights Oncol,Clinical Medicine Insights. Oncology,1,566,0.001767
2370,Mod Pathol,"Modern pathology : an official journal of the United States and Canadian Academy of Pathology, Inc",7,3969,0.001764
2371,Biochem Biophys Res Commun,Biochemical and biophysical research communications,61,34594,0.001763
2372,Wei Sheng Yan Jiu,Wei sheng yan jiu = Journal of hygiene research,5,2838,0.001762
2373,Microb Pathog,Microbial pathogenesis,12,6812,0.001762
2374,Mult Scler J Exp Transl Clin,"Multiple sclerosis journal - experimental, translational and clinical",1,570,0.001754
2375,Dermatology,"Dermatology (Basel, Switzerland)",4,2284,0.001751
2376,J Arrhythm,Journal of arrhythmia,3,1715,0.001749
2377,Microbes Infect,Microbes and infection,4,2288,0.001748
2378,No Shinkei Geka,No shinkei geka. Neurological surgery,4,2288,0.001748
2379,Curr Top Med Chem,Current topics in medicinal chemistry,7,4005,0.001748
2380,Adv Clin Exp Med,Advances in clinical and experimental medicine : official organ Wroclaw Medical University,4,2289,0.001747
2381,J Cell Physiol,Journal of cellular physiology,16,9168,0.001745
2382,Clin Perinatol,Clinics in perinatology,2,1146,0.001745
2383,AJOG Glob Rep,AJOG global reports,1,573,0.001745
2384,Hand Surg,Hand surgery : an international journal devoted to hand and upper limb surgery and related research : journal of the Asia-Pacific Federation of Societies for Surgery of the Hand,1,573,0.001745
2385,J Med Toxicol,Journal of medical toxicology : official journal of the American College of Medical Toxicology,2,1148,0.001742
2386,Can Respir J,Canadian respiratory journal,2,1149,0.001741
2387,Pest Manag Sci,Pest management science,12,6901,0.001739
2388,Rev Port Cardiol,Revista portuguesa de cardiologia : orgao oficial da Sociedade Portuguesa de Cardiologia = Portuguese journal of cardiology : an official journal of the Portuguese Society of Cardiology,4,2301,0.001738
2389,Sheng Li Xue Bao,Sheng li xue bao : [Acta physiologica Sinica],3,1728,0.001736
2390,J Clin Exp Hematop,Journal of clinical and experimental hematopathology : JCEH,1,576,0.001736
2391,Toxicology,Toxicology,7,4036,0.001734
2392,Methods Appl Fluoresc,Methods and applications in fluorescence,1,577,0.001733
2393,Virol J,Virology journal,9,5194,0.001733
2394,Zhongguo Dang Dai Er Ke Za Zhi,Zhongguo dang dai er ke za zhi = Chinese journal of contemporary pediatrics,8,4622,0.001731
2395,Int J Clin Health Psychol,International journal of clinical and health psychology : IJCHP,1,578,0.001730
2396,J Clin Psychiatry,The Journal of clinical psychiatry,8,4625,0.001730
2397,World J Microbiol Biotechnol,World journal of microbiology & biotechnology,7,4051,0.001728
2398,Nefrologia (Engl Ed),Nefrologia,2,1159,0.001726
2399,Drug Metab Pharmacokinet,Drug metabolism and pharmacokinetics,2,1162,0.001721
2400,Annu Rev Biochem,Annual review of biochemistry,1,583,0.001715
2401,Turk J Med Sci,Turkish journal of medical sciences,5,2919,0.001713
2402,Noncoding RNA,Non-coding RNA,1,584,0.001712
2403,Nat Rev Microbiol,Nature reviews. Microbiology,5,2923,0.001711
2404,Case Rep Psychiatry,Case reports in psychiatry,1,585,0.001709
2405,Acta Haematol,Acta haematologica,3,1758,0.001706
2406,Ocul Immunol Inflamm,Ocular immunology and inflammation,6,3519,0.001705
2407,Stress,"Stress (Amsterdam, Netherlands)",2,1173,0.001705
2408,Clin Neurol Neurosurg,Clinical neurology and neurosurgery,12,7052,0.001702
2409,Plant Divers,Plant diversity,1,588,0.001701
2410,Bioengineered,Bioengineered,5,2944,0.001698
2411,Adv Food Nutr Res,Advances in food and nutrition research,1,589,0.001698
2412,Int J Geriatr Psychiatry,International journal of geriatric psychiatry,6,3536,0.001697
2413,World Psychiatry,World psychiatry : official journal of the World Psychiatric Association (WPA),3,1769,0.001696
2414,Fly (Austin),Fly,1,590,0.001695
2415,Biomed Sci Instrum,Biomedical sciences instrumentation,1,592,0.001689
2416,Acta Neurol Scand,Acta neurologica Scandinavica,4,2378,0.001682
2417,Vet Comp Oncol,Veterinary and comparative oncology,2,1189,0.001682
2418,J Clin Med,Journal of clinical medicine,78,46438,0.001680
2419,PNAS Nexus,PNAS nexus,3,1790,0.001676
2420,Ann Glob Health,Annals of global health,2,1195,0.001674
2421,Eur Urol Oncol,European urology oncology,2,1195,0.001674
2422,Transplant Rev (Orlando),"Transplantation reviews (Orlando, Fla.)",1,598,0.001672
2423,Brain Res Bull,Brain research bulletin,7,4188,0.001671
2424,World J Clin Cases,World journal of clinical cases,12,7187,0.001670
2425,Tokai J Exp Clin Med,The Tokai journal of experimental and clinical medicine,1,599,0.001669
2426,Arch Endocrinol Metab,Archives of endocrinology and metabolism,2,1200,0.001667
2427,Prev Sci,Prevention science : the official journal of the Society for Prevention Research,3,1802,0.001665
2428,Dermatol Pract Concept,Dermatology practical & conceptual,3,1803,0.001664
2429,Acta Biochim Pol,Acta biochimica Polonica,3,1805,0.001662
2430,Neurooncol Adv,Neuro-oncology advances,2,1204,0.001661
2431,Probl Endokrinol (Mosk),Problemy endokrinologii,1,602,0.001661
2432,Naunyn Schmiedebergs Arch Pharmacol,Naunyn-Schmiedeberg's archives of pharmacology,8,4818,0.001660
2433,Acta Pharm Sin B,Acta pharmaceutica Sinica. B,4,2412,0.001658
2434,Transl Pediatr,Translational pediatrics,3,1811,0.001657
2435,Asian J Psychiatr,Asian journal of psychiatry,7,4233,0.001654
2436,Zhonghua Kou Qiang Yi Xue Za Zhi,Zhonghua kou qiang yi xue za zhi = Zhonghua kouqiang yixue zazhi = Chinese journal of stomatology,6,3629,0.001653
2437,Intractable Rare Dis Res,Intractable & rare diseases research,1,606,0.001650
2438,J Proteome Res,Journal of proteome research,15,9103,0.001648
2439,Sex Dev,"Sexual development : genetics, molecular biology, evolution, endocrinology, embryology, and pathology of sex determination and differentiation",1,607,0.001647
2440,ISME J,The ISME journal,7,4250,0.001647
2441,Psychiatriki,Psychiatrike = Psychiatriki,1,608,0.001645
2442,Nutr Diet,Nutrition & dietetics : the journal of the Dietitians Association of Australia,1,609,0.001642
2443,Microorganisms,Microorganisms,28,17055,0.001642
2444,Clin Gastroenterol Hepatol,Clinical gastroenterology and hepatology : the official clinical practice journal of the American Gastroenterological Association,14,8528,0.001642
2445,Scand J Med Sci Sports,Scandinavian journal of medicine & science in sports,6,3656,0.001641
2446,BMC Pharmacol Toxicol,BMC pharmacology & toxicology,2,1219,0.001641
2447,Soc Stud Sci,Social studies of science,1,610,0.001639
2448,J Clin Oncol,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,26,15869,0.001638
2449,J Mol Biol,Journal of molecular biology,16,9766,0.001638
2450,Zhonghua Wei Zhong Bing Ji Jiu Yi Xue,Zhonghua wei zhong bing ji jiu yi xue,5,3054,0.001637
2451,Biomed Pap Med Fac Univ Palacky Olomouc Czech Repub,"Biomedical papers of the Medical Faculty of the University Palacky, Olomouc, Czechoslovakia",2,1222,0.001637
2452,Middle East J Dig Dis,Middle East journal of digestive diseases,1,611,0.001637
2453,J Biochem Mol Toxicol,Journal of biochemical and molecular toxicology,5,3058,0.001635
2454,Front Toxicol,Frontiers in toxicology,1,612,0.001634
2455,NEJM Evid,NEJM evidence,1,612,0.001634
2456,Yakugaku Zasshi,Yakugaku zasshi : Journal of the Pharmaceutical Society of Japan,6,3673,0.001634
2457,Trends Biochem Sci,Trends in biochemical sciences,3,1838,0.001632
2458,Ann Pediatr Endocrinol Metab,Annals of pediatric endocrinology & metabolism,1,614,0.001629
2459,Dev Biol,Developmental biology,10,6147,0.001627
2460,Nat Rev Mol Cell Biol,Nature reviews. Molecular cell biology,4,2459,0.001627
2461,Int J Hematol,International journal of hematology,7,4304,0.001626
2462,Neuropharmacology,Neuropharmacology,11,6766,0.001626
2463,Asia Pac Allergy,Asia Pacific allergy,1,616,0.001623
2464,Ann Dermatol Venereol,Annales de dermatologie et de venereologie,6,3700,0.001622
2465,Mol Cell Biochem,Molecular and cellular biochemistry,10,6168,0.001621
2466,Burns Trauma,Burns & trauma,1,617,0.001621
2467,Phys Biol,Physical biology,2,1235,0.001619
2468,Psychother Psychosom,Psychotherapy and psychosomatics,2,1235,0.001619
2469,Biochim Biophys Acta Gen Subj,Biochimica et biophysica acta. General subjects,3,1855,0.001617
2470,Curr Oncol Rep,Current oncology reports,3,1855,0.001617
2471,BMC Infect Dis,BMC infectious diseases,24,14846,0.001617
2472,Clin Res Cardiol,Clinical research in cardiology : official journal of the German Cardiac Society,5,3095,0.001616
2473,Food Funct,Food & function,14,8668,0.001615
2474,Drug Dev Res,Drug development research,2,1239,0.001614
2475,BMC Nephrol,BMC nephrology,9,5578,0.001613
2476,Exp Clin Psychopharmacol,Experimental and clinical psychopharmacology,2,1240,0.001613
2477,Lancet,"Lancet (London, England)",47,29142,0.001613
2478,Radiother Oncol,Radiotherapy and oncology : journal of the European Society for Therapeutic Radiology and Oncology,11,6821,0.001613
2479,J Neurosci,The Journal of neuroscience : the official journal of the Society for Neuroscience,37,22946,0.001612
2480,Orv Hetil,Orvosi hetilap,9,5583,0.001612
2481,J Thorac Dis,Journal of thoracic disease,19,11789,0.001612
2482,J Theor Biol,Journal of theoretical biology,11,6848,0.001606
2483,Psychoanal Q,The Psychoanalytic quarterly,1,623,0.001605
2484,Ophthalmic Physiol Opt,Ophthalmic & physiological optics : the journal of the British College of Ophthalmic Opticians (Optometrists),3,1870,0.001604
2485,Am J Transplant,American journal of transplantation : official journal of the American Society of Transplantation and the American Society of Transplant Surgeons,13,8112,0.001603
2486,SSM Popul Health,SSM - population health,3,1872,0.001603
2487,Adipocyte,Adipocyte,1,625,0.001600
2488,Antioxid Redox Signal,Antioxidants & redox signaling,6,3754,0.001598
2489,J Child Adolesc Psychopharmacol,Journal of child and adolescent psychopharmacology,3,1879,0.001597
